,AAL,AZN,BG,BP,GSK,HSBC,PRU,RIO,TSCO,VOD
2015-08-21,39.75,31.63,70.96,33.17,41.23,40.52,80.77,35.99,85.59,34.82
2015-08-22,39.75,31.63,70.96,33.17,41.23,40.52,80.77,35.99,85.59,34.82
2015-08-23,39.75,31.63,70.96,33.17,41.23,40.52,80.77,35.99,85.59,34.82
2015-08-24,37.62,30.64,70.23,31.19,40.17,38.4,75.91,34.14,83.58,33.4
2015-08-25,37.5,30.28,68.94,30.71,39.41,39.22,74.22,34.3,83.04,33.34
2015-08-26,38.85,31.13,69.64,31.1,40.47,39.13,77.46,34.71,85.04,34.24
2015-08-27,39.03,31.61,71.73,33.03,41.21,40.16,81.12,36.56,87.12,34.82
2015-08-28,38.62,31.67,72.57,33.26,41.25,39.9,81.2,36.6,85.39,34.85
2015-08-29,38.62,31.67,72.57,33.26,41.25,39.9,81.2,36.6,85.39,34.85
2015-08-30,38.62,31.67,72.57,33.26,41.25,39.9,81.2,36.6,85.39,34.85
2015-08-31,38.98,31.28,72.45,33.54,40.93,39.67,80.7,36.72,85.31,34.48
2015-09-01,39.2,30.69,70.45,32.14,39.47,38.16,77.12,34.32,82.23,33.66
2015-09-02,41.51,31.68,70.93,32.2,40.64,38.55,78.94,35.2,83.69,34.35
2015-09-03,40.89,32.24,70.87,32.41,40.62,38.56,79.01,35.59,83.95,34.42
2015-09-04,40.6,31.7,70.04,30.7,39.69,37.68,77.1,34.23,83.19,33.89
2015-09-05,40.6,31.7,70.04,30.7,39.69,37.68,77.1,34.23,83.19,33.89
2015-09-06,40.6,31.7,70.04,30.7,39.69,37.68,77.1,34.23,83.19,33.89
2015-09-07,40.6,31.7,70.04,30.7,39.69,37.68,77.1,34.23,83.19,33.89
2015-09-08,40.8,32.93,70.67,31.41,40.57,39.07,79.89,35.93,86.36,35.12
2015-09-09,41.0,32.4,69.72,30.9,39.85,39.33,78.49,35.99,85.8,34.87
2015-09-10,41.21,33.28,70.2,31.21,40.24,39.06,78.95,36.38,86.69,35.21
2015-09-11,42.15,33.3,69.59,31.01,40.26,39.12,78.99,37.21,87.96,34.69
2015-09-12,42.15,33.3,69.59,31.01,40.26,39.12,78.99,37.21,87.96,34.69
2015-09-13,42.15,33.3,69.59,31.01,40.26,39.12,78.99,37.21,87.96,34.69
2015-09-14,42.29,33.17,69.85,30.68,39.78,38.79,78.51,37.44,86.11,34.29
2015-09-15,42.64,33.46,70.97,31.11,40.04,39.2,80.46,36.9,86.5,33.74
2015-09-16,43.06,33.62,71.67,32.13,40.52,39.85,80.88,37.21,87.96,34.2
2015-09-17,43.99,33.81,71.31,32.11,40.41,39.02,78.19,36.76,86.99,33.85
2015-09-18,43.49,34.37,70.71,31.09,39.97,38.13,75.83,35.52,86.27,33.67
2015-09-19,43.49,34.37,70.71,31.09,39.97,38.13,75.83,35.52,86.27,33.67
2015-09-20,43.49,34.37,70.71,31.09,39.97,38.13,75.83,35.52,86.27,33.67
2015-09-21,43.23,33.54,71.05,31.06,39.81,38.46,77.15,35.32,84.89,33.77
2015-09-22,41.19,32.21,69.69,30.39,38.69,37.79,75.84,34.04,82.81,32.96
2015-09-23,41.24,32.3,69.54,29.92,38.83,37.98,76.23,33.54,83.04,33.01
2015-09-24,40.25,32.45,70.5,30.16,38.79,37.59,76.03,34.02,82.35,32.72
2015-09-25,40.24,32.36,71.15,30.43,38.48,38.06,77.25,33.6,83.97,32.82
2015-09-26,40.24,32.36,71.15,30.43,38.48,38.06,77.25,33.6,83.97,32.82
2015-09-27,40.24,32.36,71.15,30.43,38.48,38.06,77.25,33.6,83.97,32.82
2015-09-28,39.08,31.41,69.11,29.38,37.58,37.15,74.54,32.06,81.68,31.12
2015-09-29,39.18,31.28,72.39,29.63,37.56,37.04,74.99,32.65,82.31,30.9
2015-09-30,38.83,31.82,73.3,30.56,38.45,37.88,76.21,33.82,84.32,31.74
2015-10-01,39.2,31.79,73.41,30.96,38.74,38.17,76.3,33.76,85.95,31.0
2015-10-02,38.63,32.11,74.57,32.52,39.5,38.94,75.4,34.78,86.82,31.89
2015-10-03,38.63,32.11,74.57,32.52,39.5,38.94,75.4,34.78,86.82,31.89
2015-10-04,38.63,32.11,74.57,32.52,39.5,38.94,75.4,34.78,86.82,31.89
2015-10-05,40.19,32.38,75.01,33.49,39.96,39.54,77.28,35.27,88.41,32.38
2015-10-06,38.13,32.08,75.11,34.31,39.77,39.53,76.71,35.42,86.57,32.39
2015-10-07,39.31,31.92,76.07,35.71,39.72,40.57,77.78,38.19,88.61,32.09
2015-10-08,39.74,32.39,76.69,35.96,40.16,40.79,78.28,38.81,89.2,32.41
2015-10-09,42.42,32.23,77.12,35.96,40.22,40.57,78.08,39.74,89.64,32.32
2015-10-10,42.42,32.23,77.12,35.96,40.22,40.57,78.08,39.74,89.64,32.32
2015-10-11,42.42,32.23,77.12,35.96,40.22,40.57,78.08,39.74,89.64,32.32
2015-10-12,43.84,32.13,77.13,35.37,40.38,40.68,77.94,38.95,85.74,32.31
2015-10-13,43.41,31.3,77.47,34.73,40.11,39.54,77.15,38.17,84.46,31.79
2015-10-14,43.8,31.51,77.3,35.32,40.62,39.79,76.5,39.24,84.15,31.76
2015-10-15,44.46,32.24,77.12,35.68,41.54,40.41,78.39,39.21,84.69,32.03
2015-10-16,43.71,32.35,77.78,35.86,41.96,40.37,79.27,38.36,85.21,32.24
2015-10-17,43.71,32.35,77.78,35.86,41.96,40.37,79.27,38.36,85.21,32.24
2015-10-18,43.71,32.35,77.78,35.86,41.96,40.37,79.27,38.36,85.21,32.24
2015-10-19,44.45,32.2,77.81,34.94,41.74,40.12,79.21,37.76,86.97,32.14
2015-10-20,44.79,30.93,77.94,34.97,41.16,39.87,79.77,37.5,86.45,32.2
2015-10-21,44.31,30.47,77.95,35.14,40.86,38.93,79.36,37.18,86.25,31.93
